   7.1499524e+01  -2.9863815e+02   1.3707739e+03   3.2401148e+03
  -1.3654231e+03   1.7423670e+02   1.6963751e+02   1.6526431e+03
  -1.0608786e-02   8.9454894e-01   4.4684411e-01   6.2701393e+00
   1.0182362e+02  -1.1905443e+03   6.7111323e+02   4.1534525e+01
  -1.2830737e+03  -5.5049389e+01   2.9203369e+02   1.3901177e+03
   4.0068935e-02   1.1429208e-01   9.9263881e-01   5.6873315e+00
   4.2258725e+01  -7.1730452e+02   1.0701801e+03   1.2257339e+03
  -1.2230554e+03   1.5190160e+02   2.3618921e+02   1.3552198e+03
   3.8276840e-02   6.2605465e-01   7.7883918e-01   4.8778523e+00
  -4.9172783e+01   1.1492588e+03   4.1864267e+02   3.1761544e+03
   1.2564297e+03   4.9429482e+00   1.9122751e+02   1.6099522e+03
   5.5420391e-02  -2.6834834e-01   9.6172644e-01   6.4109561e+00
  -8.3080016e+01   2.5428305e+02  -1.4232429e+03   1.3448043e+03
   1.3865536e+03   2.9528891e+02  -1.2123381e+02   1.8114110e+03
   7.3384973e-03   9.8900798e-01  -1.4767995e-01   6.9018291e+00
