   6.8003167e-04   1.3858062e-06  -6.1201533e-01
  -1.4007843e-05  -7.3165173e-04   1.3567453e-01
  -2.7671939e-04   3.8398987e-05  -8.3886067e-01
   6.5047506e-04   1.6981075e-05   2.1904027e-01
   4.7829728e-05  -7.6945407e-04   1.1073066e-01
   4.4992084e-04   5.1558757e-05  -1.0725457e+00
   8.1194725e-04  -2.3675524e-05  -2.6245283e-01
  -2.1417324e-05  -8.1027434e-04   1.6897795e-01
   3.7581790e-05   2.1207898e-05  -1.0180203e+00
  -4.4676855e-04  -1.4048349e-05   8.8242572e-01
  -5.6619192e-05   8.0069086e-04  -2.2054370e-01
  -6.8431443e-04  -5.6520819e-05  -4.6827683e-01
  -3.9580112e-04   1.8174376e-05  -6.6232102e-01
   1.9745983e-05   7.2110114e-04  -2.2232787e-01
   6.1122889e-04  -4.6790569e-06  -8.2417527e-01
